Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:01:00,1.002146E+04,2.778957E+04,3.388877E-01,1.958823E+00,1.419362E+04,4.326049E+04,4.799741E-01,3.049335E+00,1.617966E+05,4.538072E+05,5.471345E+00,3.198786E+01,9.448034E+04,4.334822E+04,3.194965E+00,3.055519E+00,2.583360E+04,3.753852E+03,8.734463E-01,2.646335E-01,1.720153E+04,2.506637E+03,5.815888E-01,1.767100E-01,2.559992E+04,3.517338E+03,8.655460E-01,2.479591E-01,1.718274E+04,3.001000E+03,5.809535E-01,2.115632E-01,2.797425E+05,3.755430E+04,9.458201E+00,2.647450E+00,1.844016E+05,2.497912E+04,6.234658E+00,1.760949E+00,2.784498E+05,3.552191E+04,9.414496E+00,2.504165E+00,1.863388E+05,3.108581E+04,6.300152E+00,2.191479E+00,3.835871E+04,3.411351E+03,1.296910E+00,2.404867E-01,2.508012E+04,2.274622E+03,8.479560E-01,1.603525E-01,3.829877E+04,3.230237E+03,1.294884E+00,2.277182E-01,2.534572E+04,2.853689E+03,8.569357E-01,2.011773E-01
00:02:00,1.001717E+04,2.778582E+04,3.387425E-01,1.958559E+00,1.417691E+04,4.323753E+04,4.794091E-01,3.047716E+00,1.616032E+05,4.537486E+05,5.464804E+00,3.198372E+01,9.449774E+04,4.333889E+04,3.195553E+00,3.054861E+00,2.583135E+04,3.745841E+03,8.733705E-01,2.640687E-01,1.720009E+04,2.501197E+03,5.815400E-01,1.763264E-01,2.559766E+04,3.509672E+03,8.654695E-01,2.474186E-01,1.718129E+04,2.994679E+03,5.809046E-01,2.111175E-01,2.797181E+05,3.748757E+04,9.457377E+00,2.642744E+00,1.843859E+05,2.493407E+04,6.234126E+00,1.757772E+00,2.784252E+05,3.545871E+04,9.413664E+00,2.499708E+00,1.863231E+05,3.102319E+04,6.299620E+00,2.187064E+00,3.836075E+04,3.404004E+03,1.296979E+00,2.399687E-01,2.508144E+04,2.269685E+03,8.480006E-01,1.600044E-01,3.830082E+04,3.223274E+03,1.294953E+00,2.272272E-01,2.534704E+04,2.846979E+03,8.569802E-01,2.007042E-01
00:03:00,1.001288E+04,2.778190E+04,3.385975E-01,1.958283E+00,1.416023E+04,4.321401E+04,4.788451E-01,3.046059E+00,1.614101E+05,4.536836E+05,5.458274E+00,3.197914E+01,9.451531E+04,4.332892E+04,3.196147E+00,3.054158E+00,2.582912E+04,3.737852E+03,8.732948E-01,2.635054E-01,1.719864E+04,2.495773E+03,5.814912E-01,1.759439E-01,2.559540E+04,3.502030E+03,8.653930E-01,2.468798E-01,1.717985E+04,2.988373E+03,5.808559E-01,2.106729E-01,2.796938E+05,3.742102E+04,9.456554E+00,2.638052E+00,1.843702E+05,2.488913E+04,6.233595E+00,1.754604E+00,2.784006E+05,3.539568E+04,9.412834E+00,2.495264E+00,1.863074E+05,3.096072E+04,6.299090E+00,2.182659E+00,3.836280E+04,3.396676E+03,1.297049E+00,2.394521E-01,2.508277E+04,2.264760E+03,8.480455E-01,1.596571E-01,3.830288E+04,3.216331E+03,1.295023E+00,2.267377E-01,2.534837E+04,2.840287E+03,8.570250E-01,2.002323E-01
00:04:00,1.000859E+04,2.777784E+04,3.384525E-01,1.957996E+00,1.414353E+04,4.319001E+04,4.782804E-01,3.044367E+00,1.612167E+05,4.536129E+05,5.451735E+00,3.197416E+01,9.453250E+04,4.331838E+04,3.196729E+00,3.053415E+00,2.582687E+04,3.729895E+03,8.732190E-01,2.629443E-01,1.719720E+04,2.490370E+03,5.814424E-01,1.755629E-01,2.559314E+04,3.494420E+03,8.653165E-01,2.463432E-01,1.717841E+04,2.982087E+03,5.808071E-01,2.102297E-01,2.796694E+05,3.735474E+04,9.455731E+00,2.633378E+00,1.843545E+05,2.484438E+04,6.233064E+00,1.751448E+00,2.783760E+05,3.533293E+04,9.412002E+00,2.490839E+00,1.862917E+05,3.089847E+04,6.298559E+00,2.178270E+00,3.836481E+04,3.389379E+03,1.297117E+00,2.389375E-01,2.508407E+04,2.259854E+03,8.480895E-01,1.593112E-01,3.830490E+04,3.209416E+03,1.295091E+00,2.262502E-01,2.534967E+04,2.833618E+03,8.570689E-01,1.997621E-01
00:05:00,1.000431E+04,2.777364E+04,3.383077E-01,1.957700E+00,1.412686E+04,4.316555E+04,4.777166E-01,3.042642E+00,1.610237E+05,4.535367E+05,5.445208E+00,3.196878E+01,9.454986E+04,4.330729E+04,3.197316E+00,3.052633E+00,2.582464E+04,3.721973E+03,8.731434E-01,2.623858E-01,1.719576E+04,2.484991E+03,5.813937E-01,1.751837E-01,2.559088E+04,3.486846E+03,8.652401E-01,2.458092E-01,1.717697E+04,2.975825E+03,5.807583E-01,2.097881E-01,2.796451E+05,3.728876E+04,9.454908E+00,2.628726E+00,1.843388E+05,2.479982E+04,6.232533E+00,1.748307E+00,2.783515E+05,3.527048E+04,9.411172E+00,2.486437E+00,1.862760E+05,3.083647E+04,6.298029E+00,2.173898E+00,3.836684E+04,3.382114E+03,1.297185E+00,2.384254E-01,2.508538E+04,2.254970E+03,8.481338E-01,1.589669E-01,3.830693E+04,3.202535E+03,1.295160E+00,2.257650E-01,2.535097E+04,2.826976E+03,8.571131E-01,1.992938E-01
00:06:00,1.000003E+04,2.776929E+04,3.381628E-01,1.957393E+00,1.411017E+04,4.314065E+04,4.771520E-01,3.040887E+00,1.608304E+05,4.534553E+05,5.438672E+00,3.196304E+01,9.456685E+04,4.329567E+04,3.197890E+00,3.051814E+00,2.582240E+04,3.714088E+03,8.730677E-01,2.618298E-01,1.719432E+04,2.479638E+03,5.813449E-01,1.748062E-01,2.558861E+04,3.479311E+03,8.651636E-01,2.452779E-01,1.717552E+04,2.969587E+03,5.807096E-01,2.093483E-01,2.796208E+05,3.722312E+04,9.454085E+00,2.624098E+00,1.843231E+05,2.475549E+04,6.232002E+00,1.745181E+00,2.783269E+05,3.520838E+04,9.410341E+00,2.482057E+00,1.862603E+05,3.077473E+04,6.297498E+00,2.169544E+00,3.836883E+04,3.374887E+03,1.297252E+00,2.379157E-01,2.508667E+04,2.250110E+03,8.481772E-01,1.586242E-01,3.830892E+04,3.195690E+03,1.295227E+00,2.252824E-01,2.535226E+04,2.820363E+03,8.571565E-01,1.988274E-01
00:07:00,1.000020E+04,2.779958E+04,3.381687E-01,1.959528E+00,1.411192E+04,4.318081E+04,4.772114E-01,3.043718E+00,1.608511E+05,4.540386E+05,5.439372E+00,3.200415E+01,9.458402E+04,4.333031E+04,3.198471E+00,3.054255E+00,2.582264E+04,3.714085E+03,8.730760E-01,2.618295E-01,1.719447E+04,2.479363E+03,5.813502E-01,1.747868E-01,2.558886E+04,3.479653E+03,8.651720E-01,2.453020E-01,1.717568E+04,2.968466E+03,5.807149E-01,2.092691E-01,2.796235E+05,3.723706E+04,9.454180E+00,2.625080E+00,1.843249E+05,2.476250E+04,6.232063E+00,1.745674E+00,2.783297E+05,3.522597E+04,9.410436E+00,2.483297E+00,1.862621E+05,3.076465E+04,6.297559E+00,2.168833E+00,3.837083E+04,3.373341E+03,1.297320E+00,2.378067E-01,2.508796E+04,2.248913E+03,8.482210E-01,1.585397E-01,3.831093E+04,3.194526E+03,1.295295E+00,2.252002E-01,2.535355E+04,2.817423E+03,8.572002E-01,1.986201E-01
00:08:00,1.000038E+04,2.783009E+04,3.381747E-01,1.961679E+00,1.411369E+04,4.322156E+04,4.772712E-01,3.046590E+00,1.608719E+05,4.546270E+05,5.440076E+00,3.204563E+01,9.460128E+04,4.336546E+04,3.199055E+00,3.056733E+00,2.582289E+04,3.714085E+03,8.730843E-01,2.618294E-01,1.719463E+04,2.479089E+03,5.813556E-01,1.747675E-01,2.558911E+04,3.479998E+03,8.651804E-01,2.453262E-01,1.717584E+04,2.967350E+03,5.807203E-01,2.091904E-01,2.796264E+05,3.725099E+04,9.454275E+00,2.626061E+00,1.843267E+05,2.476948E+04,6.232124E+00,1.746166E+00,2.783325E+05,3.524352E+04,9.410531E+00,2.484533E+00,1.862639E+05,3.075465E+04,6.297620E+00,2.168127E+00,3.837284E+04,3.371792E+03,1.297388E+00,2.376975E-01,2.508926E+04,2.247712E+03,8.482650E-01,1.584550E-01,3.831295E+04,3.193356E+03,1.295363E+00,2.251177E-01,2.535485E+04,2.814492E+03,8.572441E-01,1.984134E-01
00:09:00,1.000055E+04,2.786053E+04,3.381806E-01,1.963825E+00,1.411546E+04,4.326218E+04,4.773309E-01,3.049453E+00,1.608928E+05,4.552133E+05,5.440780E+00,3.208695E+01,9.461849E+04,4.340039E+04,3.199637E+00,3.059195E+00,2.582314E+04,3.714050E+03,8.730926E-01,2.618270E-01,1.719479E+04,2.478793E+03,5.813610E-01,1.747465E-01,2.558936E+04,3.480308E+03,8.651887E-01,2.453481E-01,1.717600E+04,2.966212E+03,5.807256E-01,2.091101E-01,2.796292E+05,3.726450E+04,9.454370E+00,2.627013E+00,1.843285E+05,2.477619E+04,6.232186E+00,1.746639E+00,2.783354E+05,3.526066E+04,9.410627E+00,2.485742E+00,1.862658E+05,3.074441E+04,6.297682E+00,2.167405E+00,3.837484E+04,3.370204E+03,1.297456E+00,2.375855E-01,2.509056E+04,2.246484E+03,8.483088E-01,1.583685E-01,3.831496E+04,3.192147E+03,1.295431E+00,2.250325E-01,2.535614E+04,2.811538E+03,8.572878E-01,1.982052E-01
00:10:00,1.000073E+04,2.789089E+04,3.381866E-01,1.965964E+00,1.411722E+04,4.330261E+04,4.773907E-01,3.052302E+00,1.609136E+05,4.557969E+05,5.441484E+00,3.212808E+01,9.463566E+04,4.343505E+04,3.200217E+00,3.061637E+00,2.582338E+04,3.713976E+03,8.731009E-01,2.618217E-01,1.719495E+04,2.478470E+03,5.813663E-01,1.747237E-01,2.558961E+04,3.480579E+03,8.651971E-01,2.453671E-01,1.717616E+04,2.965046E+03,5.807310E-01,2.090279E-01,2.796320E+05,3.727754E+04,9.454465E+00,2.627932E+00,1.843303E+05,2.478257E+04,6.232247E+00,1.747088E+00,2.783382E+05,3.527733E+04,9.410722E+00,2.486916E+00,1.862676E+05,3.073389E+04,6.297743E+00,2.166663E+00,3.837684E+04,3.368571E+03,1.297523E+00,2.374703E-01,2.509185E+04,2.245225E+03,8.483525E-01,1.582797E-01,3.831697E+04,3.190892E+03,1.295499E+00,2.249440E-01,2.535743E+04,2.808559E+03,8.573314E-01,1.979951E-01
00:11:00,1.000091E+04,2.792117E+04,3.381925E-01,1.968098E+00,1.411899E+04,4.334283E+04,4.774504E-01,3.055137E+00,1.609344E+05,4.563775E+05,5.442189E+00,3.216901E+01,9.465279E+04,4.346942E+04,3.200796E+00,3.064060E+00,2.582363E+04,3.713858E+03,8.731093E-01,2.618133E-01,1.719511E+04,2.478118E+03,5.813717E-01,1.746989E-01,2.558985E+04,3.480806E+03,8.652055E-01,2.453831E-01,1.717632E+04,2.963851E+03,5.807363E-01,2.089436E-01,2.796348E+05,3.729007E+04,9.454560E+00,2.628815E+00,1.843321E+05,2.478861E+04,6.232308E+00,1.747514E+00,2.783410E+05,3.529349E+04,9.410817E+00,2.488056E+00,1.862694E+05,3.072307E+04,6.297804E+00,2.165900E+00,3.837883E+04,3.366889E+03,1.297591E+00,2.373517E-01,2.509314E+04,2.243935E+03,8.483960E-01,1.581887E-01,3.831897E+04,3.189589E+03,1.295567E+00,2.248521E-01,2.535872E+04,2.805552E+03,8.573749E-01,1.977830E-01
00:12:00,1.000108E+04,2.795136E+04,3.381985E-01,1.970226E+00,1.412076E+04,4.338283E+04,4.775102E-01,3.057956E+00,1.609553E+05,4.569551E+05,5.442893E+00,3.220972E+01,9.466987E+04,4.350350E+04,3.201374E+00,3.066462E+00,2.582387E+04,3.713697E+03,8.731176E-01,2.618020E-01,1.719527E+04,2.477737E+03,5.813771E-01,1.746720E-01,2.559010E+04,3.480991E+03,8.652139E-01,2.453961E-01,1.717647E+04,2.962628E+03,5.807417E-01,2.088573E-01,2.796376E+05,3.730208E+04,9.454655E+00,2.629662E+00,1.843340E+05,2.479432E+04,6.232370E+00,1.747916E+00,2.783438E+05,3.530915E+04,9.410913E+00,2.489159E+00,1.862712E+05,3.071195E+04,6.297866E+00,2.165115E+00,3.838082E+04,3.365158E+03,1.297658E+00,2.372296E-01,2.509442E+04,2.242611E+03,8.484395E-01,1.580953E-01,3.832096E+04,3.188238E+03,1.295634E+00,2.247568E-01,2.536000E+04,2.802516E+03,8.574182E-01,1.975690E-01
00:13:00,1.000126E+04,2.798146E+04,3.382044E-01,1.972348E+00,1.412253E+04,4.342261E+04,4.775701E-01,3.060760E+00,1.609761E+05,4.575296E+05,5.443598E+00,3.225021E+01,9.468691E+04,4.353727E+04,3.201950E+00,3.068843E+00,2.582412E+04,3.713493E+03,8.731260E-01,2.617875E-01,1.719543E+04,2.477328E+03,5.813824E-01,1.746432E-01,2.559035E+04,3.481132E+03,8.652223E-01,2.454060E-01,1.717663E+04,2.961375E+03,5.807471E-01,2.087690E-01,2.796404E+05,3.731359E+04,9.454750E+00,2.630472E+00,1.843358E+05,2.479967E+04,6.232431E+00,1.748293E+00,2.783466E+05,3.532430E+04,9.411008E+00,2.490227E+00,1.862730E+05,3.070053E+04,6.297927E+00,2.164309E+00,3.838280E+04,3.363378E+03,1.297725E+00,2.371041E-01,2.509570E+04,2.241255E+03,8.484827E-01,1.579997E-01,3.832295E+04,3.186837E+03,1.295701E+00,2.246580E-01,2.536128E+04,2.799452E+03,8.574614E-01,1.973529E-01
00:14:00,1.000144E+04,2.801149E+04,3.382104E-01,1.974465E+00,1.412430E+04,4.346217E+04,4.776299E-01,3.063549E+00,1.609970E+05,4.581012E+05,5.444304E+00,3.229050E+01,9.470390E+04,4.357076E+04,3.202525E+00,3.071203E+00,2.582437E+04,3.713247E+03,8.731343E-01,2.617702E-01,1.719558E+04,2.476891E+03,5.813878E-01,1.746123E-01,2.559060E+04,3.481232E+03,8.652307E-01,2.454130E-01,1.717679E+04,2.960095E+03,5.807524E-01,2.086787E-01,2.796432E+05,3.732460E+04,9.454845E+00,2.631248E+00,1.843376E+05,2.480470E+04,6.232493E+00,1.748648E+00,2.783495E+05,3.533895E+04,9.411104E+00,2.491260E+00,1.862748E+05,3.068881E+04,6.297988E+00,2.163483E+00,3.838477E+04,3.361551E+03,1.297792E+00,2.369753E-01,2.509698E+04,2.239867E+03,8.485259E-01,1.579018E-01,3.832493E+04,3.185389E+03,1.295768E+00,2.245559E-01,2.536255E+04,2.796361E+03,8.575045E-01,1.971350E-01
00:15:00,1.000161E+04,2.804143E+04,3.382164E-01,1.976576E+00,1.412607E+04,4.350154E+04,4.776898E-01,3.066323E+00,1.610178E+05,4.586698E+05,5.445009E+00,3.233058E+01,9.472084E+04,4.360397E+04,3.203098E+00,3.073543E+00,2.582461E+04,3.712961E+03,8.731426E-01,2.617499E-01,1.719574E+04,2.476427E+03,5.813932E-01,1.745796E-01,2.559085E+04,3.481291E+03,8.652391E-01,2.454171E-01,1.717695E+04,2.958788E+03,5.807578E-01,2.085865E-01,2.796460E+05,3.733512E+04,9.454940E+00,2.631989E+00,1.843394E+05,2.480940E+04,6.232554E+00,1.748979E+00,2.783523E+05,3.535312E+04,9.411199E+00,2.492258E+00,1.862766E+05,3.067681E+04,6.298050E+00,2.162636E+00,3.838674E+04,3.359678E+03,1.297858E+00,2.368432E-01,2.509825E+04,2.238448E+03,8.485689E-01,1.578018E-01,3.832690E+04,3.183895E+03,1.295835E+00,2.244505E-01,2.536382E+04,2.793244E+03,8.575474E-01,1.969151E-01
00:16:00,1.000179E+04,2.807130E+04,3.382224E-01,1.978681E+00,1.412784E+04,4.354069E+04,4.777497E-01,3.069083E+00,1.610387E+05,4.592355E+05,5.445714E+00,3.237045E+01,9.473774E+04,4.363689E+04,3.203669E+00,3.075864E+00,2.582486E+04,3.712635E+03,8.731510E-01,2.617269E-01,1.719590E+04,2.475937E+03,5.813985E-01,1.745450E-01,2.559109E+04,3.481310E+03,8.652475E-01,2.454184E-01,1.717711E+04,2.957454E+03,5.807632E-01,2.084924E-01,2.796488E+05,3.734515E+04,9.455035E+00,2.632696E+00,1.843412E+05,2.481378E+04,6.232615E+00,1.749287E+00,2.783551E+05,3.536681E+04,9.411295E+00,2.493223E+00,1.862785E+05,3.066452E+04,6.298111E+00,2.161770E+00,3.838870E+04,3.357759E+03,1.297924E+00,2.367078E-01,2.509952E+04,2.236998E+03,8.486118E-01,1.576995E-01,3.832887E+04,3.182355E+03,1.295901E+00,2.243419E-01,2.536509E+04,2.790100E+03,8.575902E-01,1.966935E-01
00:17:00,1.000196E+04,2.810110E+04,3.382282E-01,1.980781E+00,1.412956E+04,4.357964E+04,4.778079E-01,3.071828E+00,1.610589E+05,4.597983E+05,5.446399E+00,3.241012E+01,9.475407E+04,4.366953E+04,3.204221E+00,3.078164E+00,2.582510E+04,3.712268E+03,8.731591E-01,2.617010E-01,1.719606E+04,2.475420E+03,5.814038E-01,1.745085E-01,2.559134E+04,3.481289E+03,8.652557E-01,2.454169E-01,1.717726E+04,2.956093E+03,5.807684E-01,2.083964E-01,2.796516E+05,3.735470E+04,9.455127E+00,2.633369E+00,1.843430E+05,2.481783E+04,6.232675E+00,1.749572E+00,2.783579E+05,3.538001E+04,9.411388E+00,2.494153E+00,1.862802E+05,3.065195E+04,6.298171E+00,2.160883E+00,3.839061E+04,3.355794E+03,1.297989E+00,2.365693E-01,2.510075E+04,2.235518E+03,8.486534E-01,1.575952E-01,3.833078E+04,3.180769E+03,1.295966E+00,2.242301E-01,2.536631E+04,2.786930E+03,8.576317E-01,1.964700E-01
00:18:00,1.000214E+04,2.813081E+04,3.382343E-01,1.982875E+00,1.413135E+04,4.361838E+04,4.778684E-01,3.074559E+00,1.610800E+05,4.603581E+05,5.447111E+00,3.244958E+01,9.477105E+04,4.370188E+04,3.204795E+00,3.080444E+00,2.582535E+04,3.711862E+03,8.731675E-01,2.616723E-01,1.719622E+04,2.474876E+03,5.814092E-01,1.744701E-01,2.559159E+04,3.481228E+03,8.652641E-01,2.454126E-01,1.717742E+04,2.954706E+03,5.807738E-01,2.082986E-01,2.796544E+05,3.736377E+04,9.455223E+00,2.634008E+00,1.843448E+05,2.482156E+04,6.232737E+00,1.749835E+00,2.783607E+05,3.539274E+04,9.411484E+00,2.495050E+00,1.862820E+05,3.063910E+04,6.298233E+00,2.159977E+00,3.839257E+04,3.353782E+03,1.298055E+00,2.364274E-01,2.510202E+04,2.234007E+03,8.486964E-01,1.574886E-01,3.833275E+04,3.179137E+03,1.296033E+00,2.241150E-01,2.536758E+04,2.783735E+03,8.576746E-01,1.962446E-01
00:19:00,1.000232E+04,2.816044E+04,3.382402E-01,1.984964E+00,1.413309E+04,4.365692E+04,4.779272E-01,3.077275E+00,1.611005E+05,4.609151E+05,5.447803E+00,3.248884E+01,9.478749E+04,4.373394E+04,3.205351E+00,3.082704E+00,2.582559E+04,3.711416E+03,8.731757E-01,2.616408E-01,1.719637E+04,2.474306E+03,5.814145E-01,1.744299E-01,2.559183E+04,3.481128E+03,8.652724E-01,2.454055E-01,1.717758E+04,2.953292E+03,5.807791E-01,2.081989E-01,2.796572E+05,3.737236E+04,9.455316E+00,2.634614E+00,1.843466E+05,2.482497E+04,6.232797E+00,1.750075E+00,2.783635E+05,3.540499E+04,9.411578E+00,2.495913E+00,1.862838E+05,3.062598E+04,6.298293E+00,2.159051E+00,3.839448E+04,3.351726E+03,1.298120E+00,2.362824E-01,2.510326E+04,2.232466E+03,8.487381E-01,1.573799E-01,3.833467E+04,3.177460E+03,1.296097E+00,2.239967E-01,2.536881E+04,2.780513E+03,8.577163E-01,1.960174E-01
00:20:00,1.000249E+04,2.819000E+04,3.382461E-01,1.987047E+00,1.413483E+04,4.369526E+04,4.779860E-01,3.079978E+00,1.611209E+05,4.614691E+05,5.448495E+00,3.252789E+01,9.480388E+04,4.376573E+04,3.205906E+00,3.084945E+00,2.582584E+04,3.710933E+03,8.731839E-01,2.616067E-01,1.719653E+04,2.473712E+03,5.814197E-01,1.743880E-01,2.559208E+04,3.480990E+03,8.652806E-01,2.453957E-01,1.717774E+04,2.951854E+03,5.807844E-01,2.080974E-01,2.796599E+05,3.738049E+04,9.455410E+00,2.635186E+00,1.843484E+05,2.482808E+04,6.232858E+00,1.750294E+00,2.783663E+05,3.541678E+04,9.411671E+00,2.496744E+00,1.862856E+05,3.061258E+04,6.298353E+00,2.158106E+00,3.839639E+04,3.349625E+03,1.298184E+00,2.361343E-01,2.510449E+04,2.230895E+03,8.487798E-01,1.572692E-01,3.833658E+04,3.175738E+03,1.296162E+00,2.238753E-01,2.537004E+04,2.777266E+03,8.577579E-01,1.957885E-01
